time,px,py,yaw,v,slip_angle,omega,accel,steer
52.36,-7.084272794363294,107.51016501191782,2.6087298645230605,13.786287432493085,0.41861830904473013,-1.248176620848808,-4.54755331281628,-0.40872897996323343
52.38,-7.358201339100277,107.54159670193195,2.5837663321060838,13.745603278173128,0.4184689681752592,-1.251756881287924,-4.53620849971001,-0.40878543470714057
52.4,-7.630448459086848,107.57978386490923,2.558731194480325,13.70487381081557,0.41831840654980906,-1.2553613625484197,-4.524843108348559,-0.4088406088957698
52.42,-7.900843982150389,107.62468149529633,2.5336239672293566,13.664099792112179,0.4181666094348255,-1.2589903753355214,-4.5134571902903735,-0.40889450235628333
52.44,-8.169218465754053,107.67624015232718,2.5084441597226466,13.623281989274382,0.418013564694088,-1.2626442283427788,-4.502050797187035,-0.40894711491985536
52.46,-8.435403313611634,107.734405955176,2.483191275155791,13.582421175022118,0.41785926267443946,-1.2663232253445846,-4.490623980783007,-0.40899844642167243
52.480000000000004,-8.699230893385135,107.79912058103864,2.4578648106489,13.541518127572234,0.4177036960349794,-1.2700276624530336,-4.4791767929154,-0.4090484967009343
52.5,-8.960534655402071,107.87032126620197,2.4324642573998396,13.50057363062644,0.4175468595240632,-1.2737578255962245,-4.467709285513738,-0.40909726560085413
52.52,-9.21914925232726,107.9479408101599,2.406989100887915,13.459588473358803,0.41738874970952444,-1.277513988269605,-4.45622151059973,-0.4091447529686592
52.54,-9.474910659721704,108.03190758283357,2.381438821122523,13.4185634504028,0.417229364668489,-1.2812964096053674,-4.444713520287019,-0.4091909586555913
52.56,-9.72765629741898,108.12214553495207,2.355812892930416,13.377499361837902,0.41706870364394316,-1.2851053327974402,-4.433185366780944,-0.4092358825169072
52.58,-9.977225151647325,108.21857421164928,2.330110786274467,13.336397013175707,0.4169067666758526,-1.2889409839113948,-4.421637102378348,-0.4092795244118789
52.6,-10.223457897823556,108.3211087693308,2.304331966596239,13.295257215345622,0.4167435542150785,-1.292803571099843,-4.410068779467268,-0.40932188420379473
52.620000000000005,-10.466197023942666,108.42965999586421,2.2784758951742425,13.254080784680069,0.41657906672860745,-1.2966932842348058,-4.398480450526754,-0.4093629617599588
52.64,-10.705286954484812,108.54413433414476,2.252542029489547,13.212868542899246,0.4164133043046857,-1.3006102949592921,-4.386872168126621,-0.40940275695169215
52.660000000000004,-10.940574174759163,108.6644339090872,2.2265298235903614,13.171621317095417,0.4162462662663404,-1.3045547571511684,-4.375243984927178,-0.4094412696543331
52.68,-11.171907355601794,108.79045655809374,2.200438728447338,13.13033993971674,0.4160779508014712,-1.3085268077834895,-4.363595953679028,-0.40947849974723716
52.7,-11.399137478342492,108.92209586504654,2.1742681922916685,13.089025248550628,0.41590835461722603,-1.3125265681570304,-4.3519281272228145,-0.40951444711377805
52.72,-11.622117959952972,109.05924119787227,2.1480176609285273,13.04767808670665,0.41573747262574084,-1.3165541454729475,-4.340240558488978,-0.4095491116413474
52.74,-11.840704778286508,109.20177774972483,2.1216865780190686,13.00629930259895,0.41556529766754025,-1.3206096347065108,-4.328533300497506,-0.4095824932213557
52.76,-12.054756597316514,109.34958658383123,2.095274385324938,12.964889749928219,0.4153918202779888,-1.324693120736801,-4.316806406357735,-0.4096145917492323
52.78,-12.264134892278951,109.50254468204409,2.0687805229102025,12.923450287663172,0.41521702850116626,-1.3288046806822844,-4.305059929268048,-0.4096454071244259
52.800000000000004,-12.468704074620815,109.66052499714286,2.0422044292965573,12.881981780021576,0.4150409077544437,-1.332944386388383,-4.2932939225156845,-0.40967493925040455
52.82,-12.668331616654156,109.82339650892422,2.0155455415687893,12.84048509645079,0.41486344074588244,-1.3371123070105666,-4.281508439476472,-0.40970318803465644
52.84,-12.862888175812314,109.99102428412073,1.9888032954285784,12.79896111160784,0.4146846074453931,-1.3413085116352268,-4.269703533614594,-0.40973015338868984
52.86,-13.052247718402135,110.16326954018452,1.9619771251958742,12.757410705339016,0.4145043851094028,-1.3455330718805518,-4.257879258482341,-0.4097558352280334
52.88,-13.236287642743,110.33998971297136,1.9350664637582629,12.715834762659,0.41432274835761174,-1.3497860644209185,-4.246035667719877,-0.4097802334722367
52.9,-13.414888901580518,110.5210385283579,1.9080707424698442,12.674234173729507,0.4141396692993016,-1.3540675733807896,-4.234172815054988,-0.40980334804487
52.92,-13.587936123659745,110.70626607782285,1.8809893910022284,12.632609833837462,0.41395511770561133,-1.3583776925477538,-4.2222907543028265,-0.40982517887352504
52.94,-13.755317734339709,110.89551889802028,1.8538218371512736,12.590962643372686,0.41376906122324214,-1.3627165273590496,-4.210389539365713,-0.4098457258898149
52.96,-13.916926075128039,111.08864005437066,1.8265675066040927,12.549293507805116,0.4135814656242161,-1.3670841966215497,-4.198469224232826,-0.4098649890293742
52.980000000000004,-14.072657522011445,111.28546922869195,1.7992258226716622,12.507603337661536,0.41339229508560305,-1.3714808339316176,-4.18652986298001,-0.40988296823185955
53.0,-14.222412602454838,111.48584281089073,1.77179620599303,12.465893048501837,0.41320151249256837,-1.3759065887683342,-4.17457150976951,-0.4098996634409496
53.02,-14.366096110938914,111.68959399472917,1.7442780742176627,12.42416356089479,0.4130090797576854,-1.3803616272411425,-4.162594218849721,-0.4099150746043452
53.04,-14.503617222903179,111.89655287768085,1.7166708416728396,12.382415800393339,0.41281495814920943,-1.3848461324808221,-4.15059804455495,-0.40992920167376945
53.06,-14.634889606958607,112.1065465648843,1.6889739190232227,12.340650697509417,0.4126191086209295,-1.389360304670689,-4.138583041305172,-0.4099420446049682
53.08,-14.759831535231413,112.3193992771994,1.6611867129298092,12.298869187688275,0.4124214921362964,-1.3939043607228347,-4.126549263605777,-0.4099536033577098
53.1,-14.878365991696871,112.53493246336751,1.6333086257153528,12.25707221128233,0.4122220699797682,-1.3984785336119208,-4.1144967660473135,-0.40996387789578553
53.120000000000005,-14.99042077835964,112.75296491627215,1.605339055043114,12.215260713524529,0.41202080404870817,-1.4030830713863351,-4.1024256033052575,-0.4099728681870095
53.14,-15.095928619134774,112.97331289329223,1.577277393615387,12.173435644501243,0.411817657119708,-1.4077182358832545,-4.09033583013978,-0.4099805742032189
53.160000000000004,-15.194827261281386,113.19579024073553,1.5491230288977214,12.131597959124651,0.41161259308386816,-1.4123843011802018,-4.078227501395439,-0.40998699592027393
53.18,-15.28705957423895,113.420208522335,1.5208753428741169,12.08974861710467,0.4114055771463431,-1.417081551820908,-4.066100672000996,-0.40999213331805795
53.2,-15.372573645714375,113.64637715178577,1.492533711837699,12.047888582920379,0.4111965759863203,-1.4218102808575896,-4.05395539696913,-0.40999598638047774
53.22,-15.451322874866248,113.87410352929554,1.464097506220547,12.006018825790973,0.41098555787453733,-1.4265707877550449,-4.0417917313962,-0.4099985550954632
53.24,-15.523266062431167,114.10319318211576,1.4355660904654464,11.964140319646225,0.41077249274642325,-1.4313633762042068,-4.029609730461993,-0.40999983945496765
