time,.x,.y,.phi,.vx,.vy,.omega,.steer,.throttle
2024/08/01/14:41:32.957187,0.48171404759142494,6.3010760058881425,-2.047842676924831,10.618661947694134,-5.589634911207762,1.6207909539868743,0.33999999999999997,0.13007226586341858
2024/08/01/14:41:32.982199,0.23568364477066306,6.1294105146330455,-2.0073229030751594,10.602739235938115,-5.61935278757575,1.6822305775058524,0.41,-0.007991638965904713
2024/08/01/14:41:33.007033,-0.003695846051939483,5.94859441320995,-1.9652671386375131,10.576955660247902,-5.6599642053763555,1.6984732265085623,0.33999999999999997,-0.14672355353832245
2024/08/01/14:41:33.031984,-0.23595113959079628,5.758859150867128,-1.922805307974799,10.544618277079342,-5.704974848930244,1.7441459564317765,0.41,-0.28596603870391846
2024/08/01/14:41:33.057070,-0.46072053122133205,5.560582725178922,-1.8792016590640046,10.504711201392048,-5.756022935932026,1.7405490357548705,0.33999999999999997,-0.42550453543663025
2024/08/01/14:41:33.082071,-0.6775466008460334,5.354035081895657,-1.8356879331701328,10.46130662742042,-5.805468419970661,1.7665630712041482,0.41,-0.5652821660041809
2024/08/01/14:41:33.107010,-0.88609154102271,5.139621910934022,-1.791523856390029,10.413210626644014,-5.8554237576195405,1.740870125278932,0.33999999999999997,-0.7050487399101257
2024/08/01/14:41:33.131988,-1.0859221832402304,4.917657265627557,-1.7480021032580557,10.3651175845459,-5.8975564060305405,1.7474563240246128,0.41,-0.844684362411499
2024/08/01/14:41:33.157161,-1.2767312358881555,4.688577745062185,-1.7043156951574403,10.315269117136351,-5.935143758649678,1.701768149522138,0.33999999999999997,-0.9839962124824524
2024/08/01/14:41:33.182079,-1.458119180025074,4.4527438915370325,-1.6617714914193868,10.268677724606292,-5.95966019201825,1.6926765291709052,0.41,-1.1229510307312012
2024/08/01/14:41:33.207054,-1.6298172107826083,4.21062440942318,-1.6194545781901142,10.222741602621651,-5.975884955858139,1.6325160008121036,0.33999999999999997,-1.2610995769500732
